country_state,crude_name,ci_g_mj,x2012_volume_bbl
All,2012 Annual Crude Average CI,11.36,NA
Algeria,Saharan,11.39,1411725
Angola,Dalia,7.86,2803487
Angola,Gimboa,11.39,177590
Angola,Girassol,10.43,1232150
Angola,Greater Plutonio,8.82,1956342
Angola,Kissanje,11.39,682575
Angola,Nemba,11.39,24310
Angola,Pazflor,11.39,7757093
Argentina,Escalante,7.51,625020
Argentina,Medanito,11.39,310000
Australia,Pyrenees,5.96,746771
Australia,Vincent,11.39,764185
Brazil,Frade,6.62,874950
Brazil,Jubarte,11.39,357100
Brazil,Lula,11.39,552692
Brazil,Marlim,6.75,5622108
Brazil,Ostra,5.71,947741
Brazil,Roncador,11.39,969122
Brazil,Roncador Heavy,11.39,1839954
Canada,Albian Muskeg River Heavy,11.39,375060
Canada,Albian Heavy Synthetic,21.02,4407187
Canada,Cold Lake,18.74,4540591
Canada,Koch Alberta,7.61,53570
Canada,Lloydminster,11.39,2773
Canada,Mixed Sweet,7.75,53570
Canada,Peace River Sour,11.39,360000
Canada,Shell Synthetic Light,11.39,475489
Canada,Suncor Synthetic (all grades),24.49,2925958
Canada,Surmont,11.39,953907
Canada,Wabasca,11.39,385817
Colombia,Cano Limon,11.39,1175973
Colombia,Castilla,6.45,13038302
Colombia,Magdalena,11.39,6841012
Colombia,Rubiales,11.39,120000
Colombia,South Blend,11.39,4169622
Colombia,Vasconia,6.63,14974315
Congo,Azurite,11.39,984378
Congo,Djeno,11.39,324585
Ecuador,Napo,7.45,21580457
Ecuador,Oriente,9.34,34975946
Equatorial Guinea,Ceiba,11.39,788000
Iraq,Basra Light,12.08,57829491
Kuwait,Kuwait,11.39,3720000
Libya,Amna,11.39,513090
Neutral Zone,Ratawi,5.77,530000
Nigeria,Antan,11.39,576160
Oman,Oman,12.3,2008966
Peru,Loreto,5.82,2420063
Peru,Mayna,7.14,230000
Russia,ESPO,12.09,9670018
Russia,M100,11.39,416874
Saudi Arabia,Arab Extra Light,6.86,17475651
Saudi Arabia,Arab Light,6.75,49600000
Saudi Arabia,Arab Medium,11.39,10390000
Trinidad,Calypso,6.95,620210
Venezuela,Boscan,12.53,90000
Venezuela,Hamaca DCO,11.39,340000
Venezuela,Mesa 30,11.39,357753
Venezuela,Petrozuata (all grades),23.58,1969774
Venezuela,Zuata (all grades),23.5,1056003
US Alaska,ANS,12.81,75026823
US Colorada,Niobrara,11.39,344819
US New Mexico,Four Corners,11.39,150345
US North Dakota,Bakken,11.39,674519
US North Dakota,North Dakota Sweet,11.39,57446
US Texas,West Texas Intermediate,11.39,40710
US Utah,Covenant,11.39,819520
US California*,Aliso Canyon,1.97,106177
US California*,Ant Hill,26.37,37336
US California*,Antelope Hills,2.69,127271
US California*,"Antelope Hills, North",13.16,344495
US California*,Arroyo Grande,27.81,360676
US California*,Asphalto,7.92,334862
US California*,Bandini,7.75,14863
US California*,Bardsdale,5.24,64242
US California*,Barham Ranch,2.74,73669
US California*,Beer Nose,2.18,105077
US California*,Belgian Anticline,3.62,49056
US California*,Bellevue,8.27,28794
US California*,"Bellevue, West",8.63,13638
US California*,"Belmont, Offshore",3.19,817650
US California*,"Belridge, North",5,2648572
US California*,"Belridge, South",14.49,23577958
US California*,Beverly Hills,3.33,757920
US California*,Big Mountain,3.15,31965
US California*,Blackwells Corner,11.05,10309
US California*,Brea-Olinda,2.97,1133831
US California*,Buena Vista,13.61,1104970
US California*,Burrel,16.44,10108
US California*,Cabrillo,2.84,23888
US California*,Canal,4.04,26453
US California*,Canfield Ranch,3.58,111535
US California*,Caneros Creek,2.96,23490
US California*,Cascade,2.2,160549
US California*,Casmalia,11.61,195253
US California*,Castaic Hills,2.79,12347
